,dataset,model,fold,lambda_value,spearman
128,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,2,0.001,0.589751859041547
129,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,2,0.01,0.6802727627931208
130,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,2,0.1,0.7145262622566502
131,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,2,0.9,0.677472571772338
132,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,3,0.001,0.606069134217376
133,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,3,0.01,0.6504436692887753
134,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,3,0.1,0.6662006605218762
135,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,3,0.9,0.6389644014914224
136,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,4,0.001,0.5148617422139197
137,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,4,0.01,0.6646003173304085
138,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,4,0.1,0.740215011888481
139,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,4,0.9,0.697589901408515
140,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,5,0.001,0.45475127528459536
141,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,5,0.01,0.5802939934862024
142,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,5,0.1,0.5944677529284967
143,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,5,0.9,0.5770017192463616
144,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,6,0.001,0.532091041423655
145,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,6,0.01,0.5995989704337097
146,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,6,0.1,0.6254036806030868
147,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,6,0.9,0.542205469811921
148,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,7,0.001,0.46671052046757633
149,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,7,0.01,0.5663451708964844
150,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,7,0.1,0.5907658118138585
151,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,7,0.9,0.550845815369572
152,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,8,0.001,0.6133228136520071
153,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,8,0.01,0.6305741841579039
154,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,8,0.1,0.6246867900915484
155,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,8,0.9,0.5618842925741026
156,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,9,0.001,0.5364937575966862
157,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,9,0.01,0.5878933733317715
158,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,9,0.1,0.6460259918857123
159,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,9,0.9,0.6502063560398504
160,MK01_HUMAN_Brenan_2016,RITA regressor,0,0.001,0.39538275122109784
161,MK01_HUMAN_Brenan_2016,RITA regressor,0,0.01,0.5380451240801036
162,MK01_HUMAN_Brenan_2016,RITA regressor,0,0.1,0.6110010357577936
163,MK01_HUMAN_Brenan_2016,RITA regressor,0,0.9,0.5997431688668534
164,MK01_HUMAN_Brenan_2016,RITA regressor,1,0.001,0.338231257798687
165,MK01_HUMAN_Brenan_2016,RITA regressor,1,0.01,0.4444443350904853
166,MK01_HUMAN_Brenan_2016,RITA regressor,1,0.1,0.5021458789864243
167,MK01_HUMAN_Brenan_2016,RITA regressor,1,0.9,0.4912931852782207
168,MK01_HUMAN_Brenan_2016,RITA regressor,2,0.001,0.28175021947179196
169,MK01_HUMAN_Brenan_2016,RITA regressor,2,0.01,0.3827987719301795
170,MK01_HUMAN_Brenan_2016,RITA regressor,2,0.1,0.46120966469923064
171,MK01_HUMAN_Brenan_2016,RITA regressor,2,0.9,0.485725401062676
172,MK01_HUMAN_Brenan_2016,RITA regressor,3,0.001,0.3612588701555864
173,MK01_HUMAN_Brenan_2016,RITA regressor,3,0.01,0.4547337569448693
