,dataset,model,fold,lambda_value,spearman
153,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,8,0.01,0.6878157604777385
154,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,8,0.1,0.6876797301157618
155,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,8,0.9,0.6844041189993605
156,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,9,0.001,0.7455363051239886
157,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,9,0.01,0.7328491737391593
158,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,9,0.1,0.7298340784867934
159,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,9,0.9,0.7317325844781922
160,MK01_HUMAN_Brenan_2016,Augmented Potts,0,0.001,0.5111141764739765
161,MK01_HUMAN_Brenan_2016,Augmented Potts,0,0.01,0.5097668479127961
162,MK01_HUMAN_Brenan_2016,Augmented Potts,0,0.1,0.5092318724547377
163,MK01_HUMAN_Brenan_2016,Augmented Potts,0,0.9,0.5093313466102022
164,MK01_HUMAN_Brenan_2016,Augmented Potts,1,0.001,0.474340123670019
165,MK01_HUMAN_Brenan_2016,Augmented Potts,1,0.01,0.47571959770189576
166,MK01_HUMAN_Brenan_2016,Augmented Potts,1,0.1,0.4765551713535205
167,MK01_HUMAN_Brenan_2016,Augmented Potts,1,0.9,0.47663701623558075
168,MK01_HUMAN_Brenan_2016,Augmented Potts,2,0.001,0.435126629789654
169,MK01_HUMAN_Brenan_2016,Augmented Potts,2,0.01,0.43413493291032623
170,MK01_HUMAN_Brenan_2016,Augmented Potts,2,0.1,0.43386781974363026
171,MK01_HUMAN_Brenan_2016,Augmented Potts,2,0.9,0.43360418687878055
172,MK01_HUMAN_Brenan_2016,Augmented Potts,3,0.001,0.48253501119895176
173,MK01_HUMAN_Brenan_2016,Augmented Potts,3,0.01,0.48020909046898813
174,MK01_HUMAN_Brenan_2016,Augmented Potts,3,0.1,0.4798832921998618
175,MK01_HUMAN_Brenan_2016,Augmented Potts,3,0.9,0.48023278630112914
176,MK01_HUMAN_Brenan_2016,Augmented Potts,4,0.001,0.5112640180720875
177,MK01_HUMAN_Brenan_2016,Augmented Potts,4,0.01,0.5076569566176516
178,MK01_HUMAN_Brenan_2016,Augmented Potts,4,0.1,0.5072878544023267
179,MK01_HUMAN_Brenan_2016,Augmented Potts,4,0.9,0.5070310607403656
180,MK01_HUMAN_Brenan_2016,Augmented Potts,5,0.001,0.4715458813443595
181,MK01_HUMAN_Brenan_2016,Augmented Potts,5,0.01,0.4718264182412487
182,MK01_HUMAN_Brenan_2016,Augmented Potts,5,0.1,0.4715278351112262
183,MK01_HUMAN_Brenan_2016,Augmented Potts,5,0.9,0.47173921581401057
184,MK01_HUMAN_Brenan_2016,Augmented Potts,6,0.001,0.49347497954335195
185,MK01_HUMAN_Brenan_2016,Augmented Potts,6,0.01,0.4946577061346664
186,MK01_HUMAN_Brenan_2016,Augmented Potts,6,0.1,0.4948586094232216
187,MK01_HUMAN_Brenan_2016,Augmented Potts,6,0.9,0.49500707315849607
188,MK01_HUMAN_Brenan_2016,Augmented Potts,7,0.001,0.5026691050736987
189,MK01_HUMAN_Brenan_2016,Augmented Potts,7,0.01,0.5024988662830991
190,MK01_HUMAN_Brenan_2016,Augmented Potts,7,0.1,0.5020989934424365
191,MK01_HUMAN_Brenan_2016,Augmented Potts,7,0.9,0.5023380056913623
192,MK01_HUMAN_Brenan_2016,Augmented Potts,8,0.001,0.43860690467651114
193,MK01_HUMAN_Brenan_2016,Augmented Potts,8,0.01,0.43716770891320494
194,MK01_HUMAN_Brenan_2016,Augmented Potts,8,0.1,0.437097843212877
195,MK01_HUMAN_Brenan_2016,Augmented Potts,8,0.9,0.4372312094904303
196,MK01_HUMAN_Brenan_2016,Augmented Potts,9,0.001,0.4468074728473604
197,MK01_HUMAN_Brenan_2016,Augmented Potts,9,0.01,0.44517707555815694
198,MK01_HUMAN_Brenan_2016,Augmented Potts,9,0.1,0.4450367936689941
199,MK01_HUMAN_Brenan_2016,Augmented Potts,9,0.9,0.4450498431470558
200,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,0,0.001,0.7196891640329064
201,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,0,0.01,0.7174013837231634
