,dataset,model,fold,structural_characteristic,is_member,spearman
132,AMY_BACSU,Residue agnostic regressor,3,is_connected,1,0.5157373739537154
133,AMY_BACSU,Partial least squares,3,is_connected,1,0.5159453122031188
134,AMY_BACSU,Augmented Potts,3,is_connected,1,0.5911316401931733
135,AMY_BACSU,RITA regressor,3,is_connected,1,0.4568060652071592
136,AMY_BACSU,Residue agnostic regressor,4,is_connected,1,0.5497553452079416
137,AMY_BACSU,Partial least squares,4,is_connected,1,0.5496205175466576
138,AMY_BACSU,Augmented Potts,4,is_connected,1,0.6100665260893908
139,AMY_BACSU,RITA regressor,4,is_connected,1,0.33235805944282953
140,AMY_BACSU,Residue agnostic regressor,5,is_connected,1,0.5603748558004319
141,AMY_BACSU,Partial least squares,5,is_connected,1,0.560459869115161
142,AMY_BACSU,Augmented Potts,5,is_connected,1,0.6149978469520623
143,AMY_BACSU,RITA regressor,5,is_connected,1,0.32747238137907136
144,AMY_BACSU,Residue agnostic regressor,6,is_connected,1,0.5771356850485773
145,AMY_BACSU,Partial least squares,6,is_connected,1,0.5761563904638018
146,AMY_BACSU,Augmented Potts,6,is_connected,1,0.5918634079285471
147,AMY_BACSU,RITA regressor,6,is_connected,1,0.45577785339223753
148,AMY_BACSU,Residue agnostic regressor,7,is_connected,1,0.41305650127031457
149,AMY_BACSU,Partial least squares,7,is_connected,1,0.4134293605070237
150,AMY_BACSU,Augmented Potts,7,is_connected,1,0.5076272775098646
151,AMY_BACSU,RITA regressor,7,is_connected,1,0.3257573368138247
152,AMY_BACSU,Residue agnostic regressor,8,is_connected,1,0.5628373434162501
153,AMY_BACSU,Partial least squares,8,is_connected,1,0.5634523575536879
154,AMY_BACSU,Augmented Potts,8,is_connected,1,0.6105762799775374
155,AMY_BACSU,RITA regressor,8,is_connected,1,0.3378399153593397
156,AMY_BACSU,Residue agnostic regressor,9,is_connected,1,0.5492069191593684
157,AMY_BACSU,Partial least squares,9,is_connected,1,0.5485602879381322
158,AMY_BACSU,Augmented Potts,9,is_connected,1,0.61701335353095
159,AMY_BACSU,RITA regressor,9,is_connected,1,0.3132413864906658
160,AMY_BACSU,Residue agnostic regressor,0,is_close_to_as,0,0.4044971389112806
161,AMY_BACSU,Partial least squares,0,is_close_to_as,0,0.40484004930791845
162,AMY_BACSU,Augmented Potts,0,is_close_to_as,0,0.41815237664777405
163,AMY_BACSU,RITA regressor,0,is_close_to_as,0,0.26563657576460825
164,AMY_BACSU,Residue agnostic regressor,1,is_close_to_as,0,0.43744571054845793
165,AMY_BACSU,Partial least squares,1,is_close_to_as,0,0.43733661618336794
166,AMY_BACSU,Augmented Potts,1,is_close_to_as,0,0.40912149086753885
167,AMY_BACSU,RITA regressor,1,is_close_to_as,0,0.3553096500843027
168,AMY_BACSU,Residue agnostic regressor,2,is_close_to_as,0,0.4651988268657394
169,AMY_BACSU,Partial least squares,2,is_close_to_as,0,0.46456887462687163
170,AMY_BACSU,Augmented Potts,2,is_close_to_as,0,0.45088902538224473
171,AMY_BACSU,RITA regressor,2,is_close_to_as,0,0.22527474954030108
172,AMY_BACSU,Residue agnostic regressor,3,is_close_to_as,0,0.4323552709718714
173,AMY_BACSU,Partial least squares,3,is_close_to_as,0,0.43279585688803984
174,AMY_BACSU,Augmented Potts,3,is_close_to_as,0,0.4057089322920343
175,AMY_BACSU,RITA regressor,3,is_close_to_as,0,0.2588956650270727
176,AMY_BACSU,Residue agnostic regressor,4,is_close_to_as,0,0.46401296902547035
177,AMY_BACSU,Partial least squares,4,is_close_to_as,0,0.46394475976701155
178,AMY_BACSU,Augmented Potts,4,is_close_to_as,0,0.4082536873565558
179,AMY_BACSU,RITA regressor,4,is_close_to_as,0,0.34224404003727366
180,AMY_BACSU,Residue agnostic regressor,5,is_close_to_as,0,0.4470437588233117
181,AMY_BACSU,Partial least squares,5,is_close_to_as,0,0.4469715844029366
182,AMY_BACSU,Augmented Potts,5,is_close_to_as,0,0.4190618050302754
183,AMY_BACSU,RITA regressor,5,is_close_to_as,0,0.28827297338699076
184,AMY_BACSU,Residue agnostic regressor,6,is_close_to_as,0,0.42104249970359303
185,AMY_BACSU,Partial least squares,6,is_close_to_as,0,0.4215250998767081
186,AMY_BACSU,Augmented Potts,6,is_close_to_as,0,0.34174333713676147
187,AMY_BACSU,RITA regressor,6,is_close_to_as,0,0.1945476358452697
188,AMY_BACSU,Residue agnostic regressor,7,is_close_to_as,0,0.4363642299173815
189,AMY_BACSU,Partial least squares,7,is_close_to_as,0,0.4354256508756312
190,AMY_BACSU,Augmented Potts,7,is_close_to_as,0,0.39019162100216215
191,AMY_BACSU,RITA regressor,7,is_close_to_as,0,0.2153865917962077
192,AMY_BACSU,Residue agnostic regressor,8,is_close_to_as,0,0.49785902834716406
193,AMY_BACSU,Partial least squares,8,is_close_to_as,0,0.4987052566976042
194,AMY_BACSU,Augmented Potts,8,is_close_to_as,0,0.5172532845368201
195,AMY_BACSU,RITA regressor,8,is_close_to_as,0,0.3489718455815246
196,AMY_BACSU,Residue agnostic regressor,9,is_close_to_as,0,0.3995389433054627
197,AMY_BACSU,Partial least squares,9,is_close_to_as,0,0.3987660609890414
198,AMY_BACSU,Augmented Potts,9,is_close_to_as,0,0.37980601488096427
199,AMY_BACSU,RITA regressor,9,is_close_to_as,0,0.2340903053212203
200,AMY_BACSU,Residue agnostic regressor,0,is_close_to_as,1,0.6544872210886656
201,AMY_BACSU,Partial least squares,0,is_close_to_as,1,0.6540856354380773
202,AMY_BACSU,Augmented Potts,0,is_close_to_as,1,0.6361906724256062
203,AMY_BACSU,RITA regressor,0,is_close_to_as,1,0.41532263256369006
204,AMY_BACSU,Residue agnostic regressor,1,is_close_to_as,1,0.6224017420475167
205,AMY_BACSU,Partial least squares,1,is_close_to_as,1,0.6212246714597438
206,AMY_BACSU,Augmented Potts,1,is_close_to_as,1,0.6403030374866536
207,AMY_BACSU,RITA regressor,1,is_close_to_as,1,0.36434244528305043
208,AMY_BACSU,Residue agnostic regressor,2,is_close_to_as,1,0.632286119666615
209,AMY_BACSU,Partial least squares,2,is_close_to_as,1,0.6319638015678386
210,AMY_BACSU,Augmented Potts,2,is_close_to_as,1,0.6391595131846736
211,AMY_BACSU,RITA regressor,2,is_close_to_as,1,0.40972830991569065
212,AMY_BACSU,Residue agnostic regressor,3,is_close_to_as,1,0.6094665265425727
213,AMY_BACSU,Partial least squares,3,is_close_to_as,1,0.6093813839892485
214,AMY_BACSU,Augmented Potts,3,is_close_to_as,1,0.6286440600977669
215,AMY_BACSU,RITA regressor,3,is_close_to_as,1,0.40656411148932414
216,AMY_BACSU,Residue agnostic regressor,4,is_close_to_as,1,0.6301910285509061
217,AMY_BACSU,Partial least squares,4,is_close_to_as,1,0.6296133819309766
218,AMY_BACSU,Augmented Potts,4,is_close_to_as,1,0.6137510713260479
219,AMY_BACSU,RITA regressor,4,is_close_to_as,1,0.41964318751479696
220,AMY_BACSU,Residue agnostic regressor,5,is_close_to_as,1,0.6226454780603072
221,AMY_BACSU,Partial least squares,5,is_close_to_as,1,0.6230576368752991
222,AMY_BACSU,Augmented Potts,5,is_close_to_as,1,0.6450877844577112
223,AMY_BACSU,RITA regressor,5,is_close_to_as,1,0.4471277589430408
224,AMY_BACSU,Residue agnostic regressor,6,is_close_to_as,1,0.6461242132303948
225,AMY_BACSU,Partial least squares,6,is_close_to_as,1,0.6457334271735613
226,AMY_BACSU,Augmented Potts,6,is_close_to_as,1,0.6440427533036752
227,AMY_BACSU,RITA regressor,6,is_close_to_as,1,0.416531140443086
228,AMY_BACSU,Residue agnostic regressor,7,is_close_to_as,1,0.6151753463761037
229,AMY_BACSU,Partial least squares,7,is_close_to_as,1,0.613373485051599
230,AMY_BACSU,Augmented Potts,7,is_close_to_as,1,0.614383137796535
231,AMY_BACSU,RITA regressor,7,is_close_to_as,1,0.43754029658095245
232,AMY_BACSU,Residue agnostic regressor,8,is_close_to_as,1,0.6278537579633909
233,AMY_BACSU,Partial least squares,8,is_close_to_as,1,0.627833919702427
234,AMY_BACSU,Augmented Potts,8,is_close_to_as,1,0.618805672585887
235,AMY_BACSU,RITA regressor,8,is_close_to_as,1,0.36907542972949264
236,AMY_BACSU,Residue agnostic regressor,9,is_close_to_as,1,0.6357615646251339
237,AMY_BACSU,Partial least squares,9,is_close_to_as,1,0.6357324235497251
238,AMY_BACSU,Augmented Potts,9,is_close_to_as,1,0.6445147080304539
239,AMY_BACSU,RITA regressor,9,is_close_to_as,1,0.42374103312732425
240,AMY_BACSU,Residue agnostic regressor,0,is_secondary,0,0.5811412880444966
241,AMY_BACSU,Partial least squares,0,is_secondary,0,0.5804734402335615
242,AMY_BACSU,Augmented Potts,0,is_secondary,0,0.5575322580832579
243,AMY_BACSU,RITA regressor,0,is_secondary,0,0.3486270783864956
244,AMY_BACSU,Residue agnostic regressor,1,is_secondary,0,0.6037168140472293
245,AMY_BACSU,Partial least squares,1,is_secondary,0,0.6038550729767949
246,AMY_BACSU,Augmented Potts,1,is_secondary,0,0.5716214842142199
247,AMY_BACSU,RITA regressor,1,is_secondary,0,0.40026999166237237
248,AMY_BACSU,Residue agnostic regressor,2,is_secondary,0,0.6388487132147681
249,AMY_BACSU,Partial least squares,2,is_secondary,0,0.638811706251664
250,AMY_BACSU,Augmented Potts,2,is_secondary,0,0.6006324859702824
251,AMY_BACSU,RITA regressor,2,is_secondary,0,0.41887025670276357
252,AMY_BACSU,Residue agnostic regressor,3,is_secondary,0,0.5871948820182366
